(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
outer membrane porin C	CPLX0-7533		hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm] // an amide[periplasm]  <-->  an amide[extracellular space] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space]	hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm] // an amide[periplasm]  <-->  an amide[extracellular space] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space]
outer membrane porin F	CPLX0-7534		hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // an amide[periplasm]  <-->  an amide[extracellular space] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm]	hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // an amide[periplasm]  <-->  an amide[extracellular space] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm]
outer membrane porin G	G6657-MONOMER	porin activity // oligosaccharide transporting porin activity // maltose transporting porin activity	hydrophilic solute [extracellular space]  ->  hydrophilic solute [periplasm]	hydrophilic solute [extracellular space]  ->  hydrophilic solute [periplasm]
outer membrane porin N	G6700-MONOMER	porin activity	hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm]	hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm]
outer membrane porin PhoE	CPLX0-7530		hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm] // an amide[periplasm]  <-->  an amide[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space]	hydrophilic solute or ion [extracellular space]  <-->  hydrophilic solute or ion [periplasm] // a medium chain fatty acid[periplasm]  <-->  a medium chain fatty acid[extracellular space] // an organophosphorus compound[periplasm]  <-->  an organophosphorus compound[extracellular space] // a glycoside[periplasm]  <-->  a glycoside[extracellular space] // N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm] // a sugar[periplasm]  <-->  a sugar[extracellular space] // a sugar phosphate[periplasm]  <-->  a sugar phosphate[extracellular space] // a monocarboxylate[periplasm]  <-->  a monocarboxylate[extracellular space] // an aromatic compound[periplasm]  <-->  an aromatic compound[extracellular space] // a trisaccharide[periplasm]  <-->  a trisaccharide[extracellular space] // maltose[extracellular space]  ->  maltose[periplasm] // N,N'-diacetylchitobiose[extracellular space]  ->  N,N'-diacetylchitobiose[periplasm] // a disaccharide[periplasm]  <-->  a disaccharide[extracellular space] // an oligopeptide[periplasm]  <-->  an oligopeptide[extracellular space] // a nucleotide sugar[periplasm]  <-->  a nucleotide sugar[extracellular space] // a nucleotide[periplasm]  <-->  a nucleotide[extracellular space] // a nucleoside[periplasm]  <-->  a nucleoside[extracellular space] // an aldehyde[periplasm]  <-->  an aldehyde[extracellular space] // a lactone[periplasm]  <-->  a lactone[extracellular space] // a beta-lactam[extracellular space]  <-->  a beta-lactam[periplasm] // an amide[periplasm]  <-->  an amide[extracellular space] // glycine betaine[extracellular space]  <-->  glycine betaine[periplasm] // an amine[periplasm]  <-->  an amine[extracellular space] // a hydroxylated carboxylate[periplasm]  <-->  a hydroxylated carboxylate[extracellular space] // an aldonate[periplasm]  <-->  an aldonate[extracellular space] // 5-(methylsulfanyl)-D-ribose[periplasm]  <-->  5-(methylsulfanyl)-D-ribose[extracellular space] // an inositol[periplasm]  <-->  an inositol[extracellular space] // an amino acid[periplasm]  <-->  an amino acid[extracellular space] // a nucleobase[periplasm]  <-->  a nucleobase[extracellular space] // a dicarboxylate[periplasm]  <-->  a dicarboxylate[extracellular space] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[extracellular space] // a short-chain fatty alcohol[periplasm]  <-->  a short-chain fatty alcohol[extracellular space] // a short-chain carboxylate[periplasm]  <-->  a short-chain carboxylate[extracellular space] // an organosulfur compound[periplasm]  <-->  an organosulfur compound[extracellular space] // H2O[periplasm]  <-->  H2O[extracellular space] // an ion[periplasm]  <-->  an ion[extracellular space] // glycerol 1-phosphate[periplasm]  <-->  glycerol 1-phosphate[extracellular space]
<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter	ABGT-MONOMER	secondary active transmembrane transporter activity // secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	<i>p</i>-aminobenzoyl glutamate: proton symport	<i>p</i>-aminobenzoyl glutamate: proton symport
pantothenate:Na+ symporter	PANF-MONOMER	transmembrane transporter activity // sodium ion transmembrane transporter activity // pantothenate transmembrane transporter activity // symporter activity	pantothenate:Na<sup>+</sup> symport	pantothenate:Na<sup>+</sup> symport
partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine outer membrane porin	G6531-MONOMER	poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity // polysaccharide transmembrane transporter activity	partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine[periplasm]  ->  partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine[extracellular space]	partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine[periplasm]  ->  partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine[extracellular space]
peptide antibiotic/peptide nucleic acid transporter	CPLX0-8097		a peptide antibiotic[periplasm] + H+[periplasm]  <-->  a peptide antibiotic[cytosol] + H+[cytosol]	a peptide antibiotic[periplasm] + H+[periplasm]  <-->  a peptide antibiotic[cytosol] + H+[cytosol]
phenylalanine:H+ symporter PheP	PHEP-MONOMER		phenylalanine:proton symport	phenylalanine:proton symport
phosphate ABC transporter	ABC-27-CPLX		arsenate[out] + ATP + H2O  ->  arsenate[in] + ADP + phosphate + H+ // ATP + phosphate[periplasm] + H2O  ->  ADP + 2 phosphate[cytosol] + H+	arsenate[out] + ATP + H2O  ->  arsenate[in] + ADP + phosphate + H+ // ATP + phosphate[periplasm] + H2O  ->  ADP + 2 phosphate[cytosol] + H+
poly-<i>N</i>-acetyl-D-glucosamine synthase	CPLX0-7994	acetylglucosaminyltransferase activity // polysaccharide transmembrane transporter activity	poly-beta-1,6-N-acetyl-D-glucosamine[cytosol]  ->  poly-beta-1,6-N-acetyl-D-glucosamine[periplasm] // n UDP-N-acetyl-alpha-D-glucosamine + N-acetyl-D-glucosamine  ->  poly-beta-1,6-N-acetyl-D-glucosamine + n UDP	poly-beta-1,6-N-acetyl-D-glucosamine[cytosol]  ->  poly-beta-1,6-N-acetyl-D-glucosamine[periplasm] // n UDP-N-acetyl-alpha-D-glucosamine + N-acetyl-D-glucosamine  ->  poly-beta-1,6-N-acetyl-D-glucosamine + n UDP
potassium dependent, small conductance mechanosensitive channel	G6255-MONOMER	mechanosensitive ion channel activity	non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]	non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]
proline:Na<sup>+</sup> symporter	PUTP-MONOMER	transmembrane transporter activity // symporter activity // sodium ion binding // proline:sodium symporter activity	L-proline:Na<sup>+</sup> symport // propanoate[periplasm]  ->  propanoate[cytosol]	L-proline:Na<sup>+</sup> symport // propanoate[periplasm]  ->  propanoate[cytosol]
PTS enzyme IIBC component MalX	MALX-MONOMER	protein-phosphocysteine-glucose phosphotransferase system transporter activity // protein-phosphocysteine-sugar phosphotransferase activity // protein binding // kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // maltose transmembrane transporter activity // D-glucose transmembrane transporter activity	maltose[periplasm]  ->  maltose[cytosol] // D-glucopyranose[periplasm]  ->  D-glucopyranose[cytosol]	maltose[periplasm]  ->  maltose[cytosol] // D-glucopyranose[periplasm]  ->  D-glucopyranose[cytosol]
purine ribonucleoside exporter	YICM-MONOMER	transmembrane transporter activity // purine nucleoside transmembrane transporter activity	guanosine:proton antiport // inosine:proton antiport	guanosine:proton antiport // inosine:proton antiport
putative 3-phenylpropionate transporter	HCAT-MONOMER	lactose binding // lactose:proton symporter activity // symporter activity	3-phenylpropanoate[periplasm]  ->  3-phenylpropanoate[cytosol]	3-phenylpropanoate[periplasm]  ->  3-phenylpropanoate[cytosol]
putative chloride:H<sup>+</sup> antiporter ClcB	YNFJ-MONOMER	voltage-gated chloride channel activity // voltage-gated ion channel activity // chloride channel activity	chloride:proton antiport	chloride:proton antiport
putative inorganic phosphate export protein YjbB	EG11919-MONOMER	sodium:phosphate symporter activity // inorganic phosphate transmembrane transporter activity	phosphate[cytosol]  ->  phosphate[periplasm]	phosphate[cytosol]  ->  phosphate[periplasm]
putative multidrug efflux pump MdtNOP	CPLX0-7807		sulfadiazine export	sulfadiazine export
putative oligopeptide ABC transporter ATP binding subunit YejF // putative oligopeptide ABC transporter membrane subunit YejB // putative oligopeptide ABC transporter membrane subunit YejE // putative oligopeptide ABC transporter periplasmic binding protein YejA	ABC-41-CPLX		ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+ // an oligopeptide[periplasm] + ATP + H2O  ->  an oligopeptide[cytosol] + ADP + phosphate + H+	ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+ // an oligopeptide[periplasm] + ATP + H2O  ->  an oligopeptide[cytosol] + ADP + phosphate + H+
putative pseudouridine transporter	YEIM-MONOMER	symporter activity // nucleoside transmembrane transporter activity	pseudouridine:proton symport	pseudouridine:proton symport
putative sulfoquinovose transporter	YIHO-MONOMER	transmembrane transporter activity // symporter activity // solute:cation symporter activity // sulfur compound transmembrane transporter activity	6-sulfo-D-quinovose[periplasm]  ->  6-sulfo-D-quinovose[cytosol]	6-sulfo-D-quinovose[periplasm]  ->  6-sulfo-D-quinovose[cytosol]
putrescine ABC exporter	ABC-29-CPLX		putrescine[cytosol] + ATP + H2O  ->  putrescine[periplasm] + ADP + phosphate + H+	putrescine[cytosol] + ATP + H2O  ->  putrescine[periplasm] + ADP + phosphate + H+
putrescine ABC transporter	ABC-25-CPLX		ATP + putrescine[periplasm] + H2O  ->  ADP + putrescine[cytosol] + phosphate + H+	ATP + putrescine[periplasm] + H2O  ->  ADP + putrescine[cytosol] + phosphate + H+
putrescine transporter PotE	POTE-MONOMER	transmembrane transporter activity // putrescine transmembrane transporter activity // antiporter activity // putrescine:ornithine antiporter activity // symporter activity	putrescine:proton symport // putrescine:ornithine antiport	putrescine:proton symport // putrescine:ornithine antiport
putrescine:H+ symporter PlaP	YEEF-MONOMER	transmembrane transporter activity // putrescine transmembrane transporter activity // solute:proton symporter activity	putrescine:proton symport	putrescine:proton symport
putrescine:H+ symporter PuuP	B1296-MONOMER	solute:proton symporter activity // putrescine transmembrane transporter activity	putrescine:proton symport	putrescine:proton symport
pyridine nucleotide transhydrogenase subunit beta // pyridine nucleotide transhydrogenase subunit alpha	PYRNUTRANSHYDROGEN-CPLX	NAD(P)+ transhydrogenase (AB-specific) activity	NADPH + NAD+ + H+[cytosol]  <-->  NADP+ + NADH + H+[periplasm]	NADPH + NAD+ + H+[cytosol]  <-->  NADP+ + NADH + H+[periplasm]
pyridoxine transporter	MONOMER0-2797		pyridoxine[periplasm]  ->  pyridoxine[cytosol]	pyridoxine[periplasm]  ->  pyridoxine[cytosol]
pyrimidine:H<sup>+</sup> symporter	B1006-MONOMER	pyrimidine nucleotide transmembrane transporter activity // transmembrane transporter activity // symporter activity // pyrimidine nucleobase transmembrane transporter activity // uracil:cation symporter activity // uracil transmembrane transporter activity	uracil:proton symport // thymine:proton symport // xanthine:proton symport	uracil:proton symport // thymine:proton symport // xanthine:proton symport
pyruvate transporter CstA	EG10167-MONOMER	pyruvate secondary active transmembrane transporter activity	pyruvate:proton symport	pyruvate:proton symport
pyruvate:H<sup>+</sup> symporter	G7942-MONOMER	symporter activity // identical protein binding // protein binding // pyruvate secondary active transmembrane transporter activity	pyruvate:proton symport	pyruvate:proton symport
queuosine precursor transporter	EG12217-MONOMER	transmembrane transporter activity	preQ0[periplasm]  ->  preQ0[cytosol]	preQ0[periplasm]  ->  preQ0[cytosol]
Rac prophage; K<sup>+</sup> transporter TrkG	TRKG-MONOMER	potassium:chloride symporter activity // metal ion binding // cation transmembrane transporter activity // potassium ion binding // potassium channel activity // potassium ion transmembrane transporter activity	K<sup>+</sup>:proton symport	K<sup>+</sup>:proton symport
rhamnose/lyxose:H<sup>+</sup> symporter	RHAT-MONOMER	rhamnose transmembrane transporter activity // symporter activity	L-rhamnose:proton symport // L-lyxopyranose:proton symport	L-rhamnose:proton symport // L-lyxopyranose:proton symport
ribose ABC transporter	ABC-28-CPLX		ATP + D-ribopyranose[periplasm] + H2O  ->  ADP + D-ribopyranose[cytosol] + phosphate + H+	ATP + D-ribopyranose[periplasm] + H2O  ->  ADP + D-ribopyranose[cytosol] + phosphate + H+
Sec Holo-Translocon	SEC-SECRETION-CPLX		an apo-[c-type cytochrome] with reduced L-cysteine residues[cytosol]  ->  an apo-[c-type cytochrome] with reduced L-cysteine residues[periplasm]	an apo-[c-type cytochrome] with reduced L-cysteine residues[cytosol]  ->  an apo-[c-type cytochrome] with reduced L-cysteine residues[periplasm]
serine/threonine:Na+ symporter	YGJU-MONOMER	transmembrane transporter activity // amino acid transmembrane transporter activity // symporter activity // neutral amino acid transmembrane transporter activity // neutral amino acid:sodium symporter activity	L-serine:Na<sup>+</sup> symport	L-serine:Na<sup>+</sup> symport
shikimate:H+ symporter	SHIA-MONOMER	transmembrane transporter activity // symporter activity // shikimate transmembrane transporter activity	shikimate:proton symport	shikimate:proton symport
short chain acyl-CoA synthetase	EG12357-MONOMER	ligase activity // ATP binding // nucleotide binding // medium-chain fatty acid-CoA ligase activity	oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+	oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+
short chain fatty acid transporter	EG11671-MONOMER		acetoacetate[periplasm]  ->  acetoacetate[cytosol]	acetoacetate[periplasm]  ->  acetoacetate[cytosol]
sialic acid transporter NanX	YJHB-MONOMER	transmembrane transporter activity // carboxylic acid transmembrane transporter activity	2,7-anhydro-N-acetylneuraminate:H<sup>+</sup> symport	2,7-anhydro-N-acetylneuraminate:H<sup>+</sup> symport
